refdes_list,method_list,type_list,parserDriver_list
GS01SUMO-RII11-02-CTDMOR020,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_imodem.ctdmo_ghqr_imodem_telemetered_driver
GS01SUMO-RII11-02-DOSTAD031,recovered_host,Science,mi.dataset.driver.ctdbp_p_dcl.dosta_abcdjm_ctdbp_p_dcl_recovered_driver
GS01SUMO-RII11-02-DOSTAD031,telemetered,Science,mi.dataset.driver.ctdbp_p_dcl.dosta_abcdjm_ctdbp_p_dcl_telemetered_driver
GS01SUMO-RII11-02-DOSTAD032,recovered_host,Science,mi.dataset.driver.ctdbp_p_dcl.dosta_abcdjm_ctdbp_p_dcl_recovered_driver
GS01SUMO-RII11-02-DOSTAD032,telemetered,Science,mi.dataset.driver.ctdbp_p_dcl.dosta_abcdjm_ctdbp_p_dcl_telemetered_driver
GS01SUMO-RII11-02-DOSTAD033,recovered_host,Science,mi.dataset.driver.ctdbp_p_dcl.dosta_abcdjm_ctdbp_p_dcl_recovered_driver
GS01SUMO-RII11-02-DOSTAD033,telemetered,Science,mi.dataset.driver.ctdbp_p_dcl.dosta_abcdjm_ctdbp_p_dcl_telemetered_driver
GS01SUMO-RII11-02-FLORDG031,recovered_host,Science,mi.dataset.driver.ctdbp_p_dcl.flord_g_ctdbp_p_dcl_recovered_driver
GS01SUMO-RII11-02-FLORDG031,telemetered,Science,mi.dataset.driver.ctdbp_p_dcl.flord_g_ctdbp_p_dcl_telemetered_driver
GS01SUMO-RII11-02-FLORDG032,recovered_host,Science,mi.dataset.driver.ctdbp_p_dcl.flord_g_ctdbp_p_dcl_recovered_driver
GS01SUMO-RII11-02-FLORDG032,telemetered,Science,mi.dataset.driver.ctdbp_p_dcl.flord_g_ctdbp_p_dcl_telemetered_driver
GS01SUMO-RII11-02-FLORDG033,recovered_host,Science,mi.dataset.driver.ctdbp_p_dcl.flord_g_ctdbp_p_dcl_recovered_driver
GS01SUMO-RII11-02-FLORDG033,telemetered,Science,mi.dataset.driver.ctdbp_p_dcl.flord_g_ctdbp_p_dcl_telemetered_driver
GS01SUMO-RII11-02-PCO2WC051,recovered_host,Science,mi.dataset.driver.pco2w_abc_particles.pco2w_abc_imodem_recovered_driver
GS01SUMO-RII11-02-PCO2WC051,recovered_inst,Science,mi.dataset.driver.pco2w_abc_particles.pco2w_abc_recovered_driver
GS01SUMO-RII11-02-PCO2WC051,telemetered,Science,mi.dataset.driver.pco2w_abc_particles.pco2w_abc_imodem_telemetered_driver
GS01SUMO-RII11-02-PCO2WC052,recovered_host,Science,mi.dataset.driver.pco2w_abc_particles.pco2w_abc_imodem_recovered_driver
GS01SUMO-RII11-02-PCO2WC052,recovered_inst,Science,mi.dataset.driver.pco2w_abc_particles.pco2w_abc_recovered_driver
GS01SUMO-RII11-02-PCO2WC052,telemetered,Science,mi.dataset.driver.pco2w_abc_particles.pco2w_abc_imodem_telemetered_driver
GS01SUMO-RII11-02-PCO2WC053,recovered_host,Science,mi.dataset.driver.pco2w_abc_particles.pco2w_abc_imodem_recovered_driver
GS01SUMO-RII11-02-PCO2WC053,recovered_inst,Science,mi.dataset.driver.pco2w_abc_particles.pco2w_abc_recovered_driver
GS01SUMO-RII11-02-PCO2WC053,telemetered,Science,mi.dataset.driver.pco2w_abc_particles.pco2w_abc_imodem_telemetered_driver
GS01SUMO-RII11-02-PHSENE041,recovered_host,Science,mi.dataset.driver.phsen_abcdef_imodem_particles.phsen_abcdef_imodem_recovered_driver
GS01SUMO-RII11-02-PHSENE041,recovered_inst,Science,mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver
GS01SUMO-RII11-02-PHSENE041,telemetered,Science,mi.dataset.driver.phsen_abcdef_imodem_particles.phsen_abcdef_imodem_telemetered_driver
GS01SUMO-RII11-02-PHSENE042,recovered_host,Science,mi.dataset.driver.phsen_abcdef_imodem_particles.phsen_abcdef_imodem_recovered_driver
GS01SUMO-RII11-02-PHSENE042,recovered_inst,Science,mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver
GS01SUMO-RII11-02-PHSENE042,telemetered,Science,mi.dataset.driver.phsen_abcdef_imodem_particles.phsen_abcdef_imodem_telemetered_driver
GS01SUMO-SBC11-00-CPMENG000,recovered_host,Engineering,mi.dataset.driver.cg_cpm_eng_cpm.cg_cpm_eng_cpm_recovered_driver
GS01SUMO-SBC11-00-CPMENG000,telemetered,Engineering,mi.dataset.driver.cg_cpm_eng_cpm.cg_cpm_eng_cpm_telemetered_driver
GS01SUMO-SBD11-00-DCLENG000,recovered_host,Engineering,mi.dataset.driver.cg_dcl_eng_dcl.cg_dcl_eng_dcl_recovered_driver
GS01SUMO-SBD11-00-DCLENG000,telemetered,Engineering,mi.dataset.driver.cg_dcl_eng_dcl.cg_dcl_eng_dcl_telemetered_driver
GS01SUMO-SBD11-01-MOPAK0000,recovered_host,Engineering,mi.dataset.driver.mopak_o_dcl.mopak_o_dcl_recovered_driver
GS01SUMO-SBD11-01-MOPAK0000,telemetered,Engineering,mi.dataset.driver.mopak_o_dcl.mopak_o_dcl_telemetered_driver
GS01SUMO-SBD11-03-HYDGN0000,recovered_host,Engineering,mi.dataset.driver.hyd_o_dcl.hyd_o_dcl_recovered_driver
GS01SUMO-SBD11-03-HYDGN0000,telemetered,Engineering,mi.dataset.driver.hyd_o_dcl.hyd_o_dcl_telemetered_driver
GS01SUMO-SBD11-04-DOSTAD000,recovered_host,Science,mi.dataset.driver.dosta_abcdjm_dcl.dosta_abcdjm_dcl_recovered_driver
GS01SUMO-SBD11-04-DOSTAD000,telemetered,Science,mi.dataset.driver.dosta_abcdjm_dcl.dosta_abcdjm_dcl_telemetered_driver
GS01SUMO-SBD11-05-SPKIRB000,recovered_host,Science,mi.dataset.driver.spkir_abj_dcl.spkir_abj_dcl_recovered_driver
GS01SUMO-SBD11-05-SPKIRB000,telemetered,Science,mi.dataset.driver.spkir_abj_dcl.spkir_abj_dcl_telemetered_driver
GS01SUMO-SBD11-06-METBKA000,recovered_host,Science,mi.dataset.driver.metbk_a_dcl.metbk_a_dcl_recovered_driver
GS01SUMO-SBD11-06-METBKA000,telemetered,Science,mi.dataset.driver.metbk_a_dcl.metbk_a_dcl_telemetered_driver
GS01SUMO-SBD11-08-NUTNRB000,recovered_host,Science,mi.dataset.driver.nutnr_b_dcl_full.nutnr_b_dcl_full_recovered_driver
GS01SUMO-SBD11-08-NUTNRB000,recovered_inst,Science,mi.dataset.driver.nutnr_b.nutnr_b_recovered_driver
GS01SUMO-SBD11-08-NUTNRB000,telemetered,Science,mi.dataset.driver.nutnr_b_dcl_full.nutnr_b_dcl_full_telemetered_driver
GS01SUMO-SBD12-00-DCLENG000,recovered_host,Engineering,mi.dataset.driver.cg_dcl_eng_dcl.cg_dcl_eng_dcl_recovered_driver
GS01SUMO-SBD12-00-DCLENG000,telemetered,Engineering,mi.dataset.driver.cg_dcl_eng_dcl.cg_dcl_eng_dcl_telemetered_driver
GS01SUMO-SBD12-01-OPTAAD000,recovered_host,Science,mi.dataset.driver.optaa_dj_dcl.optaa_dj_dcl_recovered_driver
GS01SUMO-SBD12-01-OPTAAD000,telemetered,Science,mi.dataset.driver.optaa_dj_dcl.optaa_dj_dcl_telemetered_driver
GS01SUMO-SBD12-02-FLORTD000,recovered_host,Science,mi.dataset.driver.flort_dj_dcl.flort_dj_dcl_recovered_driver
GS01SUMO-SBD12-02-FLORTD000,telemetered,Science,mi.dataset.driver.flort_dj_dcl.flort_dj_dcl_telemetered_driver
GS01SUMO-SBD12-03-HYDGN0000,recovered_host,Engineering,mi.dataset.driver.hyd_o_dcl.hyd_o_dcl_recovered_driver
GS01SUMO-SBD12-03-HYDGN0000,telemetered,Engineering,mi.dataset.driver.hyd_o_dcl.hyd_o_dcl_telemetered_driver
GS01SUMO-SBD12-04-PCO2AA000,recovered_host,Science,mi.dataset.driver.pco2a_a_dcl.pco2a_a_dcl_recovered_driver
GS01SUMO-SBD12-04-PCO2AA000,telemetered,Science,mi.dataset.driver.pco2a_a_dcl.pco2a_a_dcl_telemetered_driver
GS01SUMO-SBD12-05-WAVSSA000,recovered_host,Science,mi.dataset.driver.wavss_a_dcl.wavss_a_dcl_recovered_driver
GS01SUMO-SBD12-05-WAVSSA000,telemetered,Science,mi.dataset.driver.wavss_a_dcl.wavss_a_dcl_telemetered_driver
GS01SUMO-SBD12-06-METBKA000,recovered_host,Science,mi.dataset.driver.metbk_a_dcl.metbk_a_dcl_recovered_driver
GS01SUMO-SBD12-06-METBKA000,telemetered,Science,mi.dataset.driver.metbk_a_dcl.metbk_a_dcl_telemetered_driver
GS01SUMO-SBD12-08-FDCHPA000,recovered_host,Science,mi.dataset.driver.fdchp_a_dcl.fdchp_a_dcl_recovered_driver
GS01SUMO-SBD12-08-FDCHPA000,recovered_inst,Science,mi.dataset.driver.fdchp_a.fdchp_a_recovered_driver
GS01SUMO-SBD12-08-FDCHPA000,telemetered,Science,mi.dataset.driver.fdchp_a_dcl.fdchp_a_dcl_telemetered_driver
