refdes_list,method_list,type_list,parserDriver_list
GS03FLMA-RIM01-02-CTDMOG044,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GS03FLMA-RIM01-02-CTDMOG044,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS03FLMA-RIM01-02-CTDMOG044,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GS03FLMA-RIM01-02-CTDMOG045,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GS03FLMA-RIM01-02-CTDMOG045,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS03FLMA-RIM01-02-CTDMOG045,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GS03FLMA-RIM01-02-CTDMOG046,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GS03FLMA-RIM01-02-CTDMOG046,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS03FLMA-RIM01-02-CTDMOG046,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GS03FLMA-RIM01-02-CTDMOG047,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GS03FLMA-RIM01-02-CTDMOG047,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS03FLMA-RIM01-02-CTDMOG047,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GS03FLMA-RIM01-02-CTDMOG048,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GS03FLMA-RIM01-02-CTDMOG048,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS03FLMA-RIM01-02-CTDMOG048,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GS03FLMA-RIM01-02-CTDMOH049,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GS03FLMA-RIM01-02-CTDMOH049,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS03FLMA-RIM01-02-CTDMOH049,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GS03FLMA-RIM01-02-CTDMOH050,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GS03FLMA-RIM01-02-CTDMOH050,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS03FLMA-RIM01-02-CTDMOH050,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GS03FLMA-RIM01-02-CTDMOH051,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GS03FLMA-RIM01-02-CTDMOH051,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS03FLMA-RIM01-02-CTDMOH051,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GS03FLMA-RIS01-00-SIOENG000,recovered_host,Engineering,mi.dataset.driver.sio_eng_sio.sio_eng_sio_recovered_driver
GS03FLMA-RIS01-00-SIOENG000,telemetered,Engineering,mi.dataset.driver.sio_eng_sio.sio_eng_sio_telemetered_driver
GS03FLMA-RIS01-03-DOSTAD000,recovered_host,Science,mi.dataset.driver.dosta_abcdjm_sio.dosta_abcdjm_sio_recovered_driver
GS03FLMA-RIS01-03-DOSTAD000,telemetered,Science,mi.dataset.driver.dosta_abcdjm_sio.dosta_abcdjm_sio_telemetered_driver
GS03FLMA-RIS01-04-PHSENF000,recovered_inst,Science,mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver
GS03FLMA-RIS01-04-PHSENF000,recovered_host,Science,mi.dataset.driver.phsen_abcdef_imodem_particles.phsen_abcdef_imodem_recovered_driver
GS03FLMA-RIS01-04-PHSENF000,telemetered,Science,mi.dataset.driver.phsen_abcdef_sio.phsen_abcdef_sio_telemetered_driver
GS03FLMA-RIS01-05-FLORTD000,recovered_host,Science,mi.dataset.driver.flort_dj_sio.flort_dj_sio_recovered_driver
GS03FLMA-RIS01-05-FLORTD000,telemetered,Science,mi.dataset.driver.flort_dj_sio.flort_dj_sio_telemetered_driver
